Asset,Responsible Working Group,Summary,Pointer,,,
GitHub Organization,maintainers,,,,,
Aragon DAO,administration,,,,,
Discord Server,administration,,,,,
Discourse Server,administration,,,,,
SourceCred Instance,administration,,,,,
cadCAD Repo,core_tech,,,,,
Dynamic Games Seminar Repo,outreach_and_education,,,,,
Demos Repo,core_tech,,,,,
cadCAD.org domain,administration,,,,,
cadCAD.org website,outreach_and_education,,,,,
cadCAD gitcoin grant,administration,,,,,
cadCAD Community Forum,outreach_and_education,,,,,
cadCAD Twitter account,outreach_and_education,,,,,
cadCAD Open Collective Account,administration,,,,,
recurring cadCAD community call,outreach_and_education,,,,,
cadCAD governance repo,maintainers,,,,,
cadCAD steering committee call,maintainers,,,,,
